"문제ID","문제명","증상","가능원인","확인순서","추천행동ID","해결방법","진행티어","권장레벨범위","권장퀘스트타입","보상룰ID목록","퀘스트전환규칙","LLM설명힌트","관련장비","관련자원"
"issue_machine_stopped","장비가 멈췄을 때","장비 애니메이션 정지;생산량 증가 없음;작동 표시 꺼짐","전력 부족(issue_no_power); 입력 자원 부족(issue_no_input); 출력 공간 부족(issue_output_full); 컨베이어 막힘(issue_conveyor_blocked); 레시피 설정 오류(issue_wrong_recipe); 잘못된 장비 사용(issue_wrong_machine_type)","전력 확인(check_power); 입력 자원 확인(check_input); 출력 공간 확인(check_output); 컨베이어 확인(check_conveyor); 레시피 확인(check_recipe); 장비 타입 확인(check_machine_type)","전력 상태 확인(action_check_power); 입력 자원 확인(action_check_input_resource); 저장 공간 확인(action_check_storage); 컨베이어 확인(action_check_conveyor); 레시피 설정 확인(action_set_recipe); 장비 타입 확인(action_check_machine_type)","전력, 입력 자원, 출력 저장 공간, 운송 연결, 레시피, 장비 타입을 순서대로 확인한다","T2","6-10","daily","reward_daily_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","장비가 멈췄을 때 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 전력, 입력 자원, 출력 저장 공간, 운송 연결, 레시피, 장비 타입을 순서대로 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 컨베이어(equipment_conveyor)",""
"issue_no_power","전력 부족","장비가 작동하지 않음;전력 경고 표시;생산 속도 저하","연료 부족(issue_no_fuel); 전력망 연결 끊김(issue_power_network_disconnected)","전력 확인(check_power); 발전소 확인(check_generator); 전력망 확인(check_power_network)","전력 상태 확인(action_check_power); 발전소 확인(action_check_generator); 전력망 연결 확인(action_check_power_network)","발전소와 전력 노드 연결 상태를 확인한다","T1","1-5","daily; surprise","reward_daily_t1; reward_surprise_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","전력 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 발전소와 전력 노드 연결 상태를 확인한다 행동을 퀘스트 설명에 반영한다.","발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 자기 보호막(equipment_magnetic_shield)","전력(resource_power)"
"issue_no_fuel","연료 부족","발전소 작동 중지;전력 생산량 감소","입력 자원 부족(issue_no_input); 컨베이어 막힘(issue_conveyor_blocked)","연료 확인(check_fuel); 입력 자원 확인(check_input); 컨베이어 확인(check_conveyor)","연료 확인(action_check_fuel); 입력 자원 확인(action_check_input_resource); 컨베이어 확인(action_check_conveyor)","발전소에 연료 자원이 공급되는지 확인한다","T1","1-5","daily; surprise","reward_daily_t1; reward_surprise_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","연료 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 발전소에 연료 자원이 공급되는지 확인한다 행동을 퀘스트 설명에 반영한다.","발전소(equipment_power_plant); 컨베이어(equipment_conveyor)","목재(resource_wood); 석탄(resource_coal); 숯(resource_charcoal); 석유(resource_petrolium); 우라늄(resource_uranium)"
"issue_power_network_disconnected","전력망 연결 끊김","장비가 전력망과 연결되지 않음","전력 부족(issue_no_power)","전력망 확인(check_power_network); 전력 확인(check_power)","전력망 연결 확인(action_check_power_network); 전력 상태 확인(action_check_power)","발전소, 전력 노드, 장비 연결 상태를 확인한다","T1","1-5","daily","reward_daily_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","전력망 연결 끊김 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 발전소, 전력 노드, 장비 연결 상태를 확인한다 행동을 퀘스트 설명에 반영한다.","발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node)","전력(resource_power)"
"issue_no_input","입력 자원 부족","입력 슬롯이 비어 있음;생산량 증가 없음;상위 라인에서 자원이 도착하지 않음","컨베이어 막힘(issue_conveyor_blocked); 자원 부족(issue_resource_shortage)","입력 자원 확인(check_input); 상위 장비 확인(check_upstream_machine); 컨베이어 확인(check_conveyor)","입력 자원 확인(action_check_input_resource); 상위 장비 확인(action_check_upstream_machine); 컨베이어 확인(action_check_conveyor)","현재 레시피의 입력 자원과 실제 입력 슬롯을 비교한다","T1","1-5","daily","reward_daily_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","입력 자원 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 현재 레시피의 입력 자원과 실제 입력 슬롯을 비교한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 컨베이어(equipment_conveyor); 파이프(equipment_pipe)",""
"issue_resource_shortage","자원 부족","특정 자원 수량이 계속 부족함;하위 공정이 대기함","입력 자원 부족(issue_no_input); 생산 병목(issue_production_bottleneck)","입력 자원 확인(check_input); 상위 장비 확인(check_upstream_machine); 장비 수 확인(check_machine_count)","입력 자원 확인(action_check_input_resource); 상위 장비 확인(action_check_upstream_machine); 장비 수 확인(action_check_machine_count)","부족 자원을 생산하는 상위 장비와 생산량을 확인한다","T1","1-5","daily","reward_daily_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","자원 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 부족 자원을 생산하는 상위 장비와 생산량을 확인한다 행동을 퀘스트 설명에 반영한다.","채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage)",""
"issue_output_full","출력 공간 부족","출력 슬롯이 가득 참;생산 결과가 배출되지 않음","저장소 가득 참(issue_storage_full); 컨베이어 막힘(issue_conveyor_blocked); 저장 방식 불일치(issue_wrong_storage_type)","출력 공간 확인(check_output); check_storage; 컨베이어 확인(check_conveyor); 저장 방식 확인(check_storage_type)","저장 공간 확인(action_check_storage); 컨베이어 확인(action_check_conveyor); 저장 방식 확인(action_check_storage_type)","출력 저장 공간과 운송 라인, 저장 방식이 맞는지 확인한다","T2","6-10","daily; surprise","reward_daily_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","출력 공간 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 출력 저장 공간과 운송 라인, 저장 방식이 맞는지 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage); 탱크(equipment_storage_tank); 컨베이어(equipment_conveyor); 파이프(equipment_pipe)",""
"issue_storage_full","저장소 가득 참","저장고 또는 탱크에 빈 공간이 없음","출력 공간 부족(issue_output_full)","check_storage; 하위 경로 확인(check_downstream_route)","저장 공간 확인(action_check_storage); 하위 경로 확인(action_check_downstream_route)","저장 공간을 비우거나 하위 운송 경로를 확보한다","T2","6-10","daily; surprise","reward_daily_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","저장소 가득 참 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 저장 공간을 비우거나 하위 운송 경로를 확보한다 행동을 퀘스트 설명에 반영한다.","저장고(equipment_storage); 탱크(equipment_storage_tank)",""
"issue_conveyor_blocked","컨베이어 막힘","고체 자원이 이동하지 않음;목적지로 도착하지 않음","출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type); issue_wrong_direction","컨베이어 확인(check_conveyor); 출력 공간 확인(check_output); 물류 방식 확인(check_transport_type)","컨베이어 확인(action_check_conveyor); 저장 공간 확인(action_check_storage); 물류 방식 확인(action_check_transport_type)","컨베이어 방향, 연결 상태, 목적지 저장 공간을 확인한다","T1","1-5","daily; surprise","reward_daily_t1; reward_surprise_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","컨베이어 막힘 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 컨베이어 방향, 연결 상태, 목적지 저장 공간을 확인한다 행동을 퀘스트 설명에 반영한다.","컨베이어(equipment_conveyor); 채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 저장고(equipment_storage)",""
"issue_pipe_blocked","파이프 막힘","액체/기체 자원이 이동하지 않음;탱크나 장비로 공급되지 않음","출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type); issue_wrong_direction","파이프 확인(check_pipe); 출력 공간 확인(check_output); 물류 방식 확인(check_transport_type)","파이프 확인(action_check_pipe); 저장 공간 확인(action_check_storage); 물류 방식 확인(action_check_transport_type)","파이프 연결, 방향, 탱크 여유 공간을 확인한다","T2","6-10","daily; surprise","reward_daily_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","파이프 막힘 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 파이프 연결, 방향, 탱크 여유 공간을 확인한다 행동을 퀘스트 설명에 반영한다.","파이프(equipment_pipe); 펌프(equipment_pump); 압축기(equipment_air_compressor); 탱크(equipment_storage_tank)","물(resource_water); 폐수(resource_waste_water); 산(resource_acid); 석유(resource_petrolium); 수은(resource_mercury); 산소(resource_oxygen); 수소(resource_hydrogen); 질소(resource_nitrogen); 헬륨(resource_helium)"
"issue_wrong_transport_type","물류 방식 불일치","자원이 운송 장치에 들어가지 않음;운송 라인이 반응하지 않음","컨베이어 막힘(issue_conveyor_blocked); 파이프 막힘(issue_pipe_blocked)","자원 상태 확인(check_material_state); 물류 방식 확인(check_transport_type)","자원 상태 확인(action_check_material_state); 물류 방식 확인(action_check_transport_type)","고체는 컨베이어, 액체/기체는 파이프를 사용하는지 확인한다","T2","6-10","daily","reward_daily_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","물류 방식 불일치 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 고체는 컨베이어, 액체/기체는 파이프를 사용하는지 확인한다 행동을 퀘스트 설명에 반영한다.","컨베이어(equipment_conveyor); 파이프(equipment_pipe); 저장고(equipment_storage); 탱크(equipment_storage_tank)",""
"issue_wrong_storage_type","저장 방식 불일치","자원이 저장소에 들어가지 않음;저장고나 탱크 연결이 무효","출력 공간 부족(issue_output_full); 물류 방식 불일치(issue_wrong_transport_type)","자원 상태 확인(check_material_state); 저장 방식 확인(check_storage_type)","자원 상태 확인(action_check_material_state); 저장 방식 확인(action_check_storage_type)","자원 상태에 맞는 저장소를 사용 중인지 확인한다","T2","6-10","daily; surprise","reward_daily_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","저장 방식 불일치 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 자원 상태에 맞는 저장소를 사용 중인지 확인한다 행동을 퀘스트 설명에 반영한다.","저장고(equipment_storage); 탱크(equipment_storage_tank)",""
"issue_wrong_machine_type","잘못된 장비 사용","입력 자원을 넣었지만 공정이 시작되지 않음;장비가 해당 레시피를 지원하지 않음","레시피 설정 오류(issue_wrong_recipe); 자원 상태 불일치(issue_wrong_material_state)","장비 타입 확인(check_machine_type); 레시피 확인(check_recipe)","장비 타입 확인(action_check_machine_type); 레시피 설정 확인(action_set_recipe)","현재 자원과 레시피에 맞는 장비를 사용하는지 확인한다","T2","6-10","daily","reward_daily_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","잘못된 장비 사용 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 현재 자원과 레시피에 맞는 장비를 사용하는지 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor)",""
"issue_wrong_material_state","자원 상태 불일치","장비 입력 조건과 자원의 형태가 맞지 않음","잘못된 장비 사용(issue_wrong_machine_type); 물류 방식 불일치(issue_wrong_transport_type); 저장 방식 불일치(issue_wrong_storage_type)","자원 상태 확인(check_material_state); 장비 타입 확인(check_machine_type); 물류 방식 확인(check_transport_type)","자원 상태 확인(action_check_material_state); 장비 타입 확인(action_check_machine_type); 물류 방식 확인(action_check_transport_type)","고체, 액체, 기체, 분말 등 자원 상태가 장비/물류/저장 조건과 맞는지 확인한다","T2","6-10","daily","reward_daily_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","자원 상태 불일치 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 고체, 액체, 기체, 분말 등 자원 상태가 장비/물류/저장 조건과 맞는지 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 펌프(equipment_pump); 압축기(equipment_air_compressor)",""
"issue_wrong_recipe","레시피 설정 오류","장비가 대기 상태;의도한 출력이 나오지 않음","잘못된 장비 사용(issue_wrong_machine_type); 입력 자원 부족(issue_no_input)","레시피 확인(check_recipe); 입력 자원 확인(check_input); 장비 타입 확인(check_machine_type)","레시피 설정 확인(action_set_recipe); 입력 자원 확인(action_check_input_resource); 장비 타입 확인(action_check_machine_type)","현재 장비에 올바른 레시피가 설정되어 있는지 확인한다","T1","1-5","daily","reward_daily_t1","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","레시피 설정 오류 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 현재 장비에 올바른 레시피가 설정되어 있는지 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder)",""
"issue_unintended_output","의도하지 않은 출력이 나왔을 때","예상과 다른 자원이 출력됨;출력물이 공정 요구와 맞지 않음","레시피 설정 오류(issue_wrong_recipe); 잘못된 장비 사용(issue_wrong_machine_type); 자원 상태 불일치(issue_wrong_material_state)","레시피 확인(check_recipe); 장비 타입 확인(check_machine_type); 자원 상태 확인(check_material_state)","레시피 설정 확인(action_set_recipe); 장비 타입 확인(action_check_machine_type); 자원 상태 확인(action_check_material_state)","설정 레시피, 장비 타입, 입력 자원 상태를 확인한다","T2","6-10","daily; surprise","reward_daily_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","의도하지 않은 출력이 나왔을 때 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 설정 레시피, 장비 타입, 입력 자원 상태를 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder)",""
"issue_production_bottleneck","생산 병목","하위 공정이 대기함;특정 자원만 계속 부족함;라인 처리량이 낮음","자원 부족(issue_resource_shortage); 전력 부족(issue_no_power); issue_machine_count_shortage","입력 자원 확인(check_input); 전력 확인(check_power); 장비 수 확인(check_machine_count); 하위 경로 확인(check_downstream_route)","입력 자원 확인(action_check_input_resource); 전력 상태 확인(action_check_power); 장비 수 확인(action_check_machine_count); 하위 경로 확인(action_check_downstream_route)","부족 자원 라인, 전력, 장비 수, 하위 운송 경로를 확인한다","T2","6-10","daily; weekly; surprise","reward_daily_t2; reward_weekly_t2; reward_surprise_t2","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","생산 병목 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 부족 자원 라인, 전력, 장비 수, 하위 운송 경로를 확인한다 행동을 퀘스트 설명에 반영한다.","채굴기(equipment_miner_machine); 제련기(equipment_smelter); 분쇄기(equipment_grinder); 컨베이어(equipment_conveyor); 파이프(equipment_pipe); 저장고(equipment_storage)",""
"issue_machine_damaged","장비 내구도 저하","장비 내구도가 낮아짐;효율 저하 또는 정지 가능","장비가 멈췄을 때(issue_machine_stopped)","내구도 확인(check_durability); 수리 확인(check_repair)","내구도 확인(action_check_durability); 장비 수리(action_repair_machine)","장비 내구도를 확인하고 수리 또는 교체한다","T3","11-15","daily; weekly; surprise","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","장비 내구도 저하 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, 장비 내구도를 확인하고 수리 또는 교체한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 자기 보호막(equipment_magnetic_shield); 컨베이어(equipment_conveyor)",""
"issue_build_cost_shortage","설치 비용 부족","장비 설치 또는 업그레이드가 불가능함","자원 부족(issue_resource_shortage)","check_build_cost; 인벤토리 확인(check_inventory)","설치 비용 확인(action_check_build_cost); 인벤토리 확인(action_check_inventory)","MachineTable의 CostType과 CostQty 기준으로 필요한 자원이 충분한지 확인한다","T3","11-15","daily; weekly; surprise","reward_daily_t3; reward_weekly_t3; reward_surprise_t3","문제 증상은 퀘스트 배경으로, 해결방법은 clear_condition 또는 objective로 변환한다.","설치 비용 부족 상황을 메인 퀘스트 진행을 막는 원인으로 연결하고, MachineTable의 CostType과 CostQty 기준으로 필요한 자원이 충분한지 확인한다 행동을 퀘스트 설명에 반영한다.","제련기(equipment_smelter); 분쇄기(equipment_grinder); 채굴기(equipment_miner_machine); 펌프(equipment_pump); 압축기(equipment_air_compressor); 발전소(equipment_power_plant); 전력 노드(equipment_power_grid_node); 자기 보호막(equipment_magnetic_shield); 컨베이어(equipment_conveyor)","철괴(resource_iron_ingot)"
